id,category,cost,name,unit
1,채소/과일,52518,쌀(g),20000
2,채소/과일,4679,찹쌀(g),1000
3,채소/과일,5232,콩(g),500
4,채소/과일,7844,팥(g),500
5,채소/과일,9225,녹두(g),500
6,채소/과일,5285,고구마(g),1000
7,채소/과일,437,감자(g),100
8,채소/과일,3647,배추(포기),1
9,채소/과일,3875,양배추(포기),1
10,채소/과일,705,시금치(g),100
11,채소/과일,1021,상추(g),100
12,채소/과일,3018,얼갈이배추(g),1000
13,채소/과일,25222,수박(개),1
14,채소/과일,15228,오이(개),10
15,채소/과일,2234,애호박(개),1
16,채소/과일,5708,토마토(g),1000
17,채소/과일,1424,딸기(g),100
18,채소/과일,1860,무(개),1
19,채소/과일,3615,당근(g),1000
20,채소/과일,3202,열무(g),1000
21,채소/과일,15716,건고추(g),600
22,채소/과일,1729,풋고추(g),100
23,채소/과일,1516,꽈리고추(g),100
24,채소/과일,16200,청양고추(g),100
25,채소/과일,1741,오이고추(g),100
26,채소/과일,1662,붉은고추(g),100
27,채소/과일,2122,양파(g),1000
28,채소/과일,2884,대파(g),1000
29,채소/과일,7547,쪽파(g),1000
30,채소/과일,12009,생강(g),1000
31,채소/과일,31304,고춧가루(국산)(g),1000
32,채소/과일,11995,고춧가루(중국산)(g),1000
33,채소/과일,881,미나리(g),100
34,채소/과일,2351,깻잎(g),100
35,채소/과일,1789,피망(g),100
36,채소/과일,2054,파프리카(g),200
37,채소/과일,12795,멜론(개),1
38,채소/과일,10620,깐마늘(국산)(g),1000
39,채소/과일,3006,알배기배추(포기),1
40,채소/과일,2125,브로콜리(개),1
41,채소/과일,14942,참깨(g),500
42,채소/과일,2662,땅콩(g),100
43,채소/과일,1066,느타리버섯(g),100
44,채소/과일,568,팽이버섯(g),150
45,채소/과일,569,새송이버섯(g),100
46,채소/과일,1611,호두(g),100
47,채소/과일,1599,아몬드(g),100
48,채소/과일,24787,사과(개),10
49,채소/과일,36313,배(개),10
50,채소/과일,35552,포도(g),2000
51,채소/과일,3029,감귤(개),10
52,채소/과일,12510,단감(개),10
53,채소/과일,295,바나나(g),100
54,채소/과일,7596,참다래(개),10
55,채소/과일,6009,파인애플(개),1
56,채소/과일,14035,오렌지(개),10
57,채소/과일,8813,방울토마토(g),1000
58,채소/과일,10349,레몬(개),10
59,채소/과일,2010,체리(g),100
60,채소/과일,5164,망고(개),1
61,채소/과일,2106,아보카도(개),1
62,축산물,7814,소고기(등심)(g),100
63,축산물,7095,소고기(양지)(g),100
64,축산물,7437,소고기(갈비(g),100
65,축산물,1458,돼지고기(앞다리)(g),100
66,축산물,2023,돼지고기(삼겹살)(g),100
67,축산물,1494,돼지고기(갈비)(g),100
68,축산물,2023,돼지고기(목심)(g),100
69,축산물,6441,닭고기(g),1000
70,축산물,7682,계란(30개),30
71,수산물,3562,고등어(염장)(마리),1
72,수산물,5079,고등어(냉장)(마리),1
73,수산물,4184,고등어(냉동)(마리),1
74,수산물,4952,꽁치(냉동)(마리),5
75,수산물,8761,갈치(냉장)(마리),1
76,수산물,5465,갈치(냉동)(마리),1
77,수산물,1413,조기(냉동)(마리),1
78,수산물,2929,굴비(마리)(마리),1
79,수산물,3619,명태(냉동)(마리),1
80,수산물,7122,물오징어(냉장)(마리),1
81,수산물,4297,물징어(냉동)(마리),1
82,수산물,2778,건멸치(g),100
83,수산물,63062,건오징어(마리),10
84,수산물,924,마른김(장),10
85,수산물,1557,구운김(장),10
86,수산물,2932,건미역(g),100
87,수산물,19700,굴(g),1000
88,수산물,20932,새우젓(g),1000
89,수산물,15901,전복(마리),5
90,수산물,4573,새우젓(g),1000
91,수산물,12900,새우(냉동)(g),900
92,가공류,7300,"프랑크 소시지(g)",500
93,가공류,6900,식용유(1.8L),1
94,기타,2380,참치캔90(g)(기본),1
95,기타,1660,참치캔85(g)(고추),1
96,기타,4880,참치캔135(g)(기본),1
97,기타,5480,참치캔(150g)(고추),1
98,기타,2190,설탕(백)(g),1000
99,기타,2940,설탕(흑)(g),1000
100,기타,6380,케찹(통),1
101,기타,6470,마요네즈(통),1
102,기타,5450,맛술(g),1
103,기타,6380,소금(g),500
104,기타,8250,고추장(g),500
105,기타,13980,고추장(g),1000
106,기타,5280,진간장(통),1
107,면류,4980,링귀니(g),500
108,면류,900,마카로니(g),500
109,면류,4100,푸실리(g),500
110,면류,7460,펜네(g),500
111,면류,4090,라자냐(g),500
112,면류,3650,스파게티(g),500
113,양념,4980,"토마토 소스(통)",1
114,양념,6090,"로제 소스(통)",1
115,양념,6090,"크림 소스(통)",1
